level,region,date,recovered,suspected,confirmed,total_quarantined,cumulative_quarantined,total_tested,active_cases
national,,2020-05-21T10:30:00.000Z,14,2681,18,513,,22681,4
national,,2020-05-22T14:00:00.000Z,14,2681,19,531,,2681,5
national,,2020-05-24T11:00:00.000Z,14,3027,21,621,,3027,7
national,,2020-05-25T11:30:00.000Z,14,3117,21,597,,3117,7
national,,2020-05-27T15:30:00.000Z,14,3201,22,538,,3201,8
national,,2020-05-28T09:30:00.000Z,14,3370,22,529,,3370,8
national,,2020-05-28T09:30:00.000Z,14,3370,22,529,,3370,8
national,,2020-05-29T19:00:00.000Z,14,3412,23,500,,3412,9
national,,2020-05-31T11:00:00.000Z,14,3680,24,686,,3680,10
national,,2020-06-01T11:00:00.000Z,16,3970,25,619,,3970,9
national,,2020-06-02T10:30:00.000Z,16,4005,25,596,,4005,9
national,,2020-06-04T14:30:00.000Z,16,4217,25,666,,4217,9
national,,2020-06-06T10:30:00.000Z,16,4588,29,800,,4588,13
national,,2020-06-08T10:30:00.000Z,16,4943,31,737,,4943,15
national,,2020-06-09T10:30:00.000Z,16,4970,31,737,,4970,15
national,,2020-06-10T11:30:00.000Z,17,5084,31,759,,5084,14
